,Unnamed: 0.1,Unnamed: 0,商品名,成分名,口コミ数,評価平均点,運動目的,運動目的2
0,0,181,ファンケルのカロリミット,"桑の葉由来イミノシュガー,茶花サポニン",10794,2.94,有酸素運動ストレッチ,ストレッチ・有酸素運動
1,1,243,イサゴール,サイリウム種皮由来の食物繊維,72,3.09,有酸素運動,有酸素運動
2,2,397,イージーファイバーダイエット,難消化性デキストリン,168,3.18,有酸素運動,有酸素運動
3,3,2637,みやびの植物酵素100,乳酸菌,46,2.96,ストレッチ,ストレッチ
4,4,3956,アテニアの「カロリシェイプ」,"桑の葉由来イミノシュガー,茶花サポニン",18,3.06,有酸素運動ストレッチ,ストレッチ・有酸素運動
5,5,4484,ファットダウン,ローズヒップ由来ティリロサイド,0,,無酸素運動,無酸素運動
6,6,4678,LKM512,ビフィズス菌,0,,ストレッチ,ストレッチ
7,7,4967,CDファイバー,α‐シクロデキストリン,10,2.8,有酸素運動,有酸素運動
8,8,5002,大人のカロリミット,"桑の葉由来イミノシュガー,茶花サポニン,ブラックジンジャー由来ポリメトキシフラボン",4576,2.8,無酸素運動有酸素運動ストレッチ,バランス
9,9,5484,アカポリアプラス,アカシア樹皮由来プロアントシアニジン,8,1.88,有酸素運動,有酸素運動
10,10,5614,燃やしてスリム,"ヒドロキシクエン酸（HCA）,ヒハツ由来ピペリン類",6,2.5,ストレッチストレッチ,ストレッチ
11,11,5701,ヘルスエイドローズヒップ,ローズヒップ由来ティリロサイド,36,2.76,無酸素運動,無酸素運動
12,12,5770,カイテキオリゴ,"オリゴ糖,α‐シクロデキストリン",71,3.27,ストレッチ有酸素運動,ストレッチ・有酸素運動
13,13,5878,森永ビースリー,ビフィズス菌,38,2.46,ストレッチ,ストレッチ
14,14,5901,おとなの前菜,難消化性デキストリン,0,,有酸素運動,有酸素運動
15,15,6012,DHCエクササイズダイエット,甘草由来グラブリジン,22,2.82,無酸素運動,無酸素運動
16,16,6089,ヘラスリム,葛の花由来イソフラボン,109,2.26,ストレッチ,ストレッチ
17,17,6108,アラプラス糖ダウン,5-アミノレブリン酸リン酸塩,11,2.73,有酸素運動,有酸素運動
18,18,6248,葛の花減脂粒,葛の花由来イソフラボン,48,2.04,ストレッチ,ストレッチ
19,19,6279,おなか快調宣言,難消化性デキストリン,10,1.89,有酸素運動,有酸素運動
20,20,6296,葛の花イソフラボンスリム,葛の花由来イソフラボン,12,2.5,ストレッチ,ストレッチ
21,21,6335,クリアライナ,難消化性デキストリン,0,,有酸素運動,有酸素運動
22,22,6371,燃体源,ブラックジンジャー由来ポリメトキシフラボン,1,3.0,無酸素運動,無酸素運動
23,23,6421,slimfor（スリムフォー）,葛の花由来イソフラボン,115,1.84,ストレッチ,ストレッチ
24,24,6535,シボヘール,葛の花由来イソフラボン,1207,2.32,ストレッチ,ストレッチ
25,25,6587,サラシア100,サラシア,64,2.72,有酸素運動,有酸素運動
26,26,6862,グラボノイド300,甘草由来グラブリジン,1,2.0,無酸素運動,無酸素運動
27,27,6909,プウェル,乳酸菌,1,,ストレッチ,ストレッチ
28,28,6938,プロシア8(プロシアエイト),リンゴ由来プロシアニジン,13,1.92,無酸素運動,無酸素運動
29,29,6981,シボガード,ターミナリアベリリカ由来没食子酸,0,,無酸素運動,無酸素運動
30,30,7059,内脂サポート,"ブラックジンジャー由来ポリメトキシフラボン,ビフィズス菌",804,2.58,無酸素運動ストレッチ,ストレッチ・無酸素運動
31,31,7065,ルックルックイヌリンプラス,イヌリン,12,3.08,有酸素運動,有酸素運動
32,32,7107,葛の花イソフラボン貴妃,葛の花由来イソフラボン,0,,ストレッチ,ストレッチ
33,33,7110,ウエストシェイプ,葛の花由来イソフラボン,0,,ストレッチ,ストレッチ
34,34,7111,葛の花ウエストケアタブレット,葛の花由来イソフラボン,0,,ストレッチ,ストレッチ
35,35,7112,葛の花サプリメント,葛の花由来イソフラボン,0,,ストレッチ,ストレッチ
36,36,7113,葛の花ヘルスリム27,葛の花由来イソフラボン,0,,ストレッチ,ストレッチ
37,37,7114,メディスリム,葛の花由来イソフラボン,0,,ストレッチ,ストレッチ
38,38,7151,ビフィリゴ10000,ビフィズス菌,0,,ストレッチ,ストレッチ
39,39,7211,WESTON(ウエストン)330グラボノイド,甘草由来グラブリジン,0,,無酸素運動,無酸素運動
40,40,7290,脚きゅっと！,赤ブドウ葉由来ポリフェノール,0,,ストレッチ,ストレッチ
41,41,7291,カプシEX,カプシノイド,4,2.5,ストレッチ,ストレッチ
42,42,7339,EPAandDHAシームレスカプセル,DHA・EPA,0,,ストレッチ,ストレッチ
43,43,7407,ピルボックスonaka(おなか),葛の花由来イソフラボン,7,3.2,ストレッチ,ストレッチ
44,44,7447,ヨクシボン,ターミナリアベリリカ由来没食子酸,0,,無酸素運動,無酸素運動
45,45,7468,ライラック01乳酸菌,乳酸菌,0,,ストレッチ,ストレッチ
46,46,7474,イージータブレットターミナリア,ターミナリアベリリカ由来没食子酸,2,1.5,無酸素運動,無酸素運動
47,47,7538,モリモリビフィ,ビフィズス菌,0,,ストレッチ,ストレッチ
48,48,7560,ピュアフローラ,サイリウム種皮由来の食物繊維,56,2.1,有酸素運動,有酸素運動
49,49,7606,金の菊芋,イヌリン,4,2.67,有酸素運動,有酸素運動
50,50,7617,ナイスリムエッセンスラクトフェリン,ラクトフェリン,22,2.65,無酸素運動,無酸素運動
51,51,7648,ビフィーナS,ビフィズス菌,8,3.25,ストレッチ,ストレッチ
52,52,7734,健脂サポート,モノグルコシルヘスペリジン,0,,ストレッチ,ストレッチ
53,53,7759,ネイチャーシェイプ13500,エラグ酸,2,3.0,無酸素運動,無酸素運動
54,54,7838,ウエイトン葛の花,葛の花由来イソフラボン,1,2.0,ストレッチ,ストレッチ
55,55,7899,ボディファースト,エラグ酸,0,,無酸素運動,無酸素運動
56,56,7901,DHCウエスト気になる,エラグ酸,139,2.55,無酸素運動,無酸素運動
57,57,7920,大正製薬おなかの脂肪が気になる方のタブレット,葛の花由来イソフラボン,188,2.52,ストレッチ,ストレッチ
58,58,7925,ダイエットのみかた,エラグ酸,8,2.17,無酸素運動,無酸素運動
59,59,7938,メタストンW,葛の花由来イソフラボン,0,,ストレッチ,ストレッチ
60,60,7951,メタバリアEX,"サラシア,難消化性デキストリン,茶カテキン,モノグルコシルルチン",492,2.56,有酸素運動ストレッチ有酸素運動無酸素運動,バランス
61,61,7985,中性脂肪やコレステロールが気になる方のタブレット,エラグ酸,1,4.0,無酸素運動,無酸素運動
62,62,7997,極み菌活生サプリ,乳酸菌,83,2.22,ストレッチ,ストレッチ
63,63,8039,パパフレ,ターミナリアベリリカ由来没食子酸,0,,無酸素運動,無酸素運動
64,64,8072,中性脂肪サポート,モノグルコシルヘスペリジン,1,4.0,ストレッチ,ストレッチ
65,65,8089,Lovet(ラヴェット),ターミナリアベリリカ由来没食子酸,0,,無酸素運動,無酸素運動
66,66,8132,シボリズム,エラグ酸,0,,無酸素運動,無酸素運動
67,67,8133,脂肪注意報,グロビン由来バリン-バリン-チロシン-プロリン,0,,無酸素運動,無酸素運動
68,68,8136,きなり極,DHA・EPA,97,2.27,ストレッチ,ストレッチ
69,69,8164,シボヘールゴールド,エラグ酸,99,2.33,無酸素運動,無酸素運動
70,70,8166,ワイルドマンゴーの力,エラグ酸,72,2.4,無酸素運動,無酸素運動
71,71,8222,フラコラ大人の1粒習慣,サラシア,3,3.0,有酸素運動,有酸素運動
72,72,8228,ターミナリアファースト,ターミナリアベリリカ由来没食子酸,386,2.34,無酸素運動,無酸素運動
73,73,8239,メタバリア葛の花イソフラボン,葛の花由来イソフラボン,96,2.56,ストレッチ,ストレッチ
74,74,8259,ナイシダウン,ブラックジンジャー由来ポリメトキシフラボン,0,,無酸素運動,無酸素運動
75,75,8305,スリリンダブル,ターミナリアベリリカ由来没食子酸,12,2.25,無酸素運動,無酸素運動
76,76,8347,メタグラボEX,甘草由来グラブリジン,4,2.5,無酸素運動,無酸素運動
77,77,8357,ブラックジンジャー代謝粒,ブラックジンジャー由来ポリメトキシフラボン,54,2.47,無酸素運動,無酸素運動
78,78,8373,スラリオ（Sulalio）,ブラックジンジャー由来ポリメトキシフラボン,1,2.0,無酸素運動,無酸素運動
79,79,8376,お腹の脂肪に黒しょうが,ブラックジンジャー由来ポリメトキシフラボン,52,2.48,無酸素運動,無酸素運動
80,80,8379,ファットケアタブレット,葛の花由来イソフラボン,2,2.5,ストレッチ,ストレッチ
81,81,8386,オサエル,ターミナリアベリリカ由来没食子酸,0,,無酸素運動,無酸素運動
82,82,8418,おなかサイズ,乳酸菌,1,3.0,ストレッチ,ストレッチ
83,83,8423,ブラックジンジャーカプセル,ブラックジンジャー由来ポリメトキシフラボン,0,,無酸素運動,無酸素運動
84,84,8440,GOLDAY(ゴールデイ),ローズヒップ由来ティリロサイド,0,,無酸素運動,無酸素運動
85,85,8444,FLAVOSフラボス,ブラックジンジャー由来ポリメトキシフラボン,92,2.23,無酸素運動,無酸素運動
86,86,8454,LacFIT（ラクフィット）,"乳酸菌,ビフィズス菌",70,2.6,ストレッチストレッチ,ストレッチ
87,87,8458,アカポリ糖ケア,アカシア樹皮由来プロアントシアニジン,4,3.75,有酸素運動,有酸素運動
88,88,8465,GENBI（げんび）,葛の花由来イソフラボン,23,2.68,ストレッチ,ストレッチ
